voiceID,speaker,gender,Emotion,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,LPC,LTAS mean,LTAS stdev,LTAS max,LTAS min,LTAS range,LTAS slope,Formant 1 mean,Formant 1 stdev,Formant 2 mean,Formant 2 stdev,Formant 3 mean,Formant 3 stdev,Pitch mean,Pitch stdev,Pitch max,Pitch min,Pitch range,Intensity mean,Intensity stdev,Intensity max,Intensity min,Intensity range,HNR,Duration,ZCR,Jitter PCA,shimmer PCA,Ed5,Ed4,Ed3,Ed2,Ed1,Ea,wentropy
N-01-01-01 (1).wav,1,male,angry,-585.9736,121.79067,-3.7635922,-11.311165,13.821306,21.783335,-1.753649,-38.73017,-5.8943057,-12.623109,-7.6646485,3.866223,5.2094502,0.013174474,-24.91453527,22.53185663,36.92853203,-103.3979916,140.3265237,-8.225232616,658.4068899,277.467023,1667.264598,380.3984675,2634.875443,457.9745498,190.9244563,43.0098064,290.9990082,133.8426805,157.1563277,43.62602178,18.28738442,69.5119343,11.74521292,57.76672138,6.63987616,1.962086168,0.135388902,-0.049601478,2.907064096,25.14327652,42.38506087,3.288415188,0.150477887,0.012566291,29.02020324,169.5828596
N-01-01-01 (10).wav,1,male,angry,-509.7211,111.7491,0.12472513,3.1187823,9.235154,1.5475377,-4.4891605,-10.682583,-4.587522,-8.239749,-11.106855,0.49754062,0.86060673,0.004333794,-24.43076299,23.26825113,48.95260316,-98.93498108,147.8875842,-12.31015696,675.0846132,368.2284368,1713.989901,429.5747087,2804.048065,374.606653,184.2261731,49.19658637,271.3718445,76.27213919,195.0997053,46.47260494,19.11184622,75.15685895,11.29920197,63.85765698,15.7791909,6.825487528,0.093311543,-1.460390798,-2.601507356,24.69631206,8.833014332,0.860596475,0.080681859,0.002209631,65.52718565,1124.511528
N-01-01-01 (11).wav,1,male,angry,-479.96216,121.11067,-19.986942,-11.378648,3.8398206,-3.2913182,-12.941743,-16.49617,-3.8313832,-13.119844,-17.822414,2.4386933,1.1700066,0.010387222,-22.31240843,25.13930205,48.30644418,-105.3555459,153.6619901,-6.142901347,720.681118,370.0600662,1639.590219,448.7358341,2760.50401,366.1586216,209.2804534,48.0061735,316.7986738,95.14575172,221.6529221,49.32281595,20.76776522,77.2377241,10.80708597,66.43063813,9.463208134,4.40600907,0.094758686,0.039443987,-0.22751637,28.21454309,26.39576757,4.192823814,0.065863849,0.000844173,41.13015751,1562.954146
N-01-01-01 (12).wav,1,male,angry,-497.16476,156.61687,-17.914154,-1.1899887,16.428059,12.172211,-0.9405511,-17.636763,9.544614,-1.1234591,-11.576434,0.25670224,0.95734495,0.005227387,-25.83459092,23.02218233,42.35879526,-94.10456484,136.4633601,-10.37623558,650.5724995,376.2620338,1772.782773,243.2355883,2660.940657,281.6942793,143.5197137,33.77334799,257.536591,64.67045119,192.8661398,51.86103685,18.30038857,69.46284414,13.34092048,56.12192366,10.94439806,1.544126984,0.083598123,0.550370233,-0.130461913,31.10669463,9.989359198,1.506568132,0.043901014,0.001310023,57.352167,292.6624855
N-01-01-01 (13).wav,1,male,angry,-400.78214,125.05466,-45.579975,-2.9061034,11.156106,3.2556314,-6.6071143,-24.150967,-8.995074,-14.424133,-19.730616,-2.9729133,-3.9720922,0.009813468,-20.55004264,26.67774756,48.993459,-96.84911744,145.8425764,-5.619478689,764.5383295,491.8815414,1860.598218,467.9192079,2798.268754,397.651339,211.9143181,41.03285044,277.147663,85.62607839,191.5215846,58.58664786,12.63892699,77.55585999,17.59061569,59.9652443,11.70590644,6.640907029,0.061422884,-1.608079452,-2.21209165,24.72355637,26.69071058,2.86334141,0.190781168,0.005574611,45.52603586,2625.954412
N-01-01-01 (14).wav,1,male,angry,-402.92947,143.88237,-41.86198,-5.239853,-10.033706,-13.644027,-7.835534,-17.427362,-0.30419892,-14.47579,-19.65382,1.2994226,-4.5476074,0.008900106,-17.32322266,27.38152107,51.78001668,-112.7931011,164.5731178,-7.269456235,765.5497162,384.2694489,1672.5041,506.7285701,2799.063828,378.0621934,215.7234817,46.53825847,316.7974399,81.80957262,234.9878673,58.74063592,14.79613917,77.24210392,18.39046458,58.85163934,10.12449592,5.874648526,0.067275911,-1.232938217,-0.81723899,52.20470191,20.01404922,1.703952549,0.23204035,0.008037557,25.83721841,3360.328546
N-01-01-01 (15).wav,1,male,angry,-473.14368,146.87325,-19.228884,6.499566,18.250368,2.231487,-8.037858,-17.06336,0.07902585,-6.7511578,-21.36211,-7.6188254,-4.6019797,0.006549696,-20.20070413,24.99173613,49.95523336,-94.70250197,144.6577353,-8.295462517,599.1813424,377.5684319,1761.195665,478.4624944,2769.20763,339.7251309,163.0569043,21.87381354,204.1659723,78.06777955,126.0981928,54.67345812,15.36483344,73.31172954,12.8091007,60.50262884,13.5432174,5.781791383,0.070177464,-1.20558991,-2.109193181,26.42115979,11.19572388,2.182639663,0.309225774,0.005241764,59.88600913,1284.881619
N-01-01-01 (16).wav,1,male,angry,-472.52237,143.4679,-33.239204,-8.468022,0.6097967,-5.8767443,-4.991108,-16.085016,-0.30435368,-5.2995024,-21.769503,-8.77435,-4.1528955,0.007051786,-21.89910038,24.7154557,51.81321437,-103.9971972,155.8104115,-5.788992052,742.8969253,424.8951595,1654.754529,519.5410753,2764.506488,396.3835577,213.101185,39.78657853,271.5724051,81.33960235,190.2328027,54.3227861,17.13153239,73.22448568,12.29052763,60.93395805,12.39745381,5.061950113,0.074299199,-0.045903228,-1.159205971,33.6013315,13.72315583,2.590888183,0.066700138,0.001141087,50.01678326,1573.759992
N-01-01-01 (17).wav,1,male,angry,-475.9113,142.6185,-43.30015,-1.1873729,4.4261923,-2.2025223,0.53317386,-15.994865,4.8972263,-8.997638,-20.65423,-1.8923502,-6.6023245,0.011571069,-21.23961097,25.34953998,41.44880035,-97.06483899,138.5136393,-3.68646321,753.0941119,430.9591356,1828.623211,506.1154135,2896.617059,457.2826013,188.7941677,27.28430612,232.927146,107.0986997,125.8284463,53.15353089,15.09059099,72.28031041,12.75649276,59.52381765,8.582706864,2.113015873,0.086793993,-1.073765069,0.199456872,25.3421337,27.49564841,4.460853881,0.392645248,0.007860678,42.30085808,365.913825
N-01-01-01 (18).wav,1,male,angry,-473.24942,126.74264,-41.31216,-4.511067,1.7313346,15.953099,-0.74579614,-29.875523,0.45481995,-11.6647005,-17.756779,9.152394,3.956368,0.013049941,-21.29751344,25.7916591,44.53016096,-97.48182849,142.0119895,-1.091731687,719.9202067,316.5378987,1709.597686,349.3418426,2681.703736,425.8684524,236.5255145,31.66076155,282.1629262,130.300101,151.8628252,53.69137445,15.98975392,73.79136513,11.06864295,62.72272217,12.42803916,3.018594104,0.09136846,-1.399211159,-1.997300275,35.23970136,33.44362371,3.57870972,0.471457181,0.03463302,27.23187502,731.247149
